split,zero_output,linear_in_input,constant_output
28,8,22,0
26,74,79,0
87,197,182,24
23,12,23,0
16,86,77,0
61,193,167,69
21,11,26,0
26,83,70,0
81,190,175,44
22,12,24,0
17,111,51,0
53,177,165,95
22,14,22,0
17,125,37,0
42,175,139,134
14,13,31,0
26,96,57,0
88,163,160,79
24,7,27,0
19,59,101,0
68,219,176,27
19,11,28,0
21,70,88,0
71,198,195,26
26,11,21,0
22,82,75,0
55,205,187,43
18,13,27,0
17,111,51,0
81,159,165,85
29,4,25,0
5,103,71,0
67,177,157,89
19,13,26,0
18,87,74,0
55,198,183,54
16,15,27,0
33,76,70,0
89,185,197,19
21,10,27,0
20,72,87,0
75,203,197,15
19,16,23,0
9,91,79,0
54,212,178,46
15,16,27,0
15,94,70,0
53,187,179,71
18,10,30,0
21,54,104,0
67,213,198,12
18,16,24,0
18,104,57,0
70,165,177,78
26,7,25,0
16,106,57,0
49,190,166,85
17,15,26,0
17,59,103,0
66,225,170,29
23,12,23,0
23,71,85,0
66,210,190,24
23,10,25,0
17,90,72,0
56,187,201,46
24,13,21,0
30,96,53,0
68,183,178,61
26,6,26,0
24,74,81,0
51,215,189,35
14,18,26,0
15,94,70,0
46,191,163,90
19,17,22,0
17,90,72,0
56,192,166,76
22,10,26,0
15,75,89,0
46,211,191,42
13,20,25,0
16,105,58,0
60,173,169,88
29,2,27,0
22,87,70,0
78,183,204,25
22,15,21,0
24,93,62,0
78,170,192,50
25,7,26,0
32,77,70,0
81,182,174,53
29,6,23,0
21,86,72,0
62,199,198,31
19,14,25,0
19,96,64,0
63,184,163,80
19,9,30,0
18,111,50,0
65,166,163,96
21,8,29,0
25,93,61,0
86,172,195,37
29,7,22,0
23,81,75,0
64,195,170,61
13,14,31,0
17,98,64,0
50,191,161,88
16,16,26,0
25,72,82,0
70,195,200,25
22,18,18,0
20,92,67,0
59,184,177,70
23,8,27,0
14,78,87,0
58,206,173,53
21,7,30,0
23,76,80,0
64,193,194,39
20,14,24,0
31,79,69,0
77,187,195,31
15,13,30,0
10,88,81,0
50,198,169,73
13,15,30,0
17,70,92,0
58,206,196,30
23,11,24,0
24,89,66,0
67,186,178,59
21,10,27,0
26,79,74,0
